Chr	Median.cov.chr	Norm.global.coverage	Sample
1	167	1	J_Oaxaca_USMA_PopGen_JYD
2	166	0.994011976047904	J_Oaxaca_USMA_PopGen_JYD
3	166	0.994011976047904	J_Oaxaca_USMA_PopGen_JYD
4	163	0.976047904191617	J_Oaxaca_USMA_PopGen_JYD
5	166	0.994011976047904	J_Oaxaca_USMA_PopGen_JYD
6	302	1.80838323353293	J_Oaxaca_USMA_PopGen_JYD
7	164	0.982035928143713	J_Oaxaca_USMA_PopGen_JYD
8	164	0.982035928143713	J_Oaxaca_USMA_PopGen_JYD
9	165	0.988023952095808	J_Oaxaca_USMA_PopGen_JYD
10	165	0.988023952095808	J_Oaxaca_USMA_PopGen_JYD
11	164	0.982035928143713	J_Oaxaca_USMA_PopGen_JYD
12	165	0.988023952095808	J_Oaxaca_USMA_PopGen_JYD
13	164	0.982035928143713	J_Oaxaca_USMA_PopGen_JYD
14	164	0.982035928143713	J_Oaxaca_USMA_PopGen_JYD
15	164	0.982035928143713	J_Oaxaca_USMA_PopGen_JYD
16	169	1.01197604790419	J_Oaxaca_USMA_PopGen_JYD
17	165	0.988023952095808	J_Oaxaca_USMA_PopGen_JYD
18	164	0.982035928143713	J_Oaxaca_USMA_PopGen_JYD
19	165	0.988023952095808	J_Oaxaca_USMA_PopGen_JYD
20	166	0.994011976047904	J_Oaxaca_USMA_PopGen_JYD
21	165	0.988023952095808	J_Oaxaca_USMA_PopGen_JYD
22	163	0.976047904191617	J_Oaxaca_USMA_PopGen_JYD
23	163	0.976047904191617	J_Oaxaca_USMA_PopGen_JYD
24	5757	34.4730538922156	J_Oaxaca_USMA_PopGen_JYD
25	170	1.01796407185629	J_Oaxaca_USMA_PopGen_JYD
26	161	0.964071856287425	J_Oaxaca_USMA_PopGen_JYD
27	172	1.02994011976048	J_Oaxaca_USMA_PopGen_JYD
28	2	0.0119760479041916	J_Oaxaca_USMA_PopGen_JYD
